epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.465,1.45287,2.52061,1.70762,0.4684,0.24038,0.27366,0.1071,2.03175,3.05018,2.28781,0.000654088,0.000654088,0.000654088
2,43.9712,1.64338,2.27501,1.83028,0.22368,0.25,0.15412,0.05167,2.36445,3.07522,2.82316,0.0012946,0.0012946,0.0012946
3,62.6456,1.7465,2.24934,1.93762,0.06816,0.25962,0.05574,0.0131,2.99515,4.01341,4.11219,0.00190872,0.00190872,0.00190872
4,80.866,1.7646,2.18265,1.91665,0.18016,0.26923,0.10936,0.0428,2.23215,3.70957,2.67733,0.0018812,0.0018812,0.0018812
5,98.8034,1.7086,2.09066,1.8998,0.21756,0.15385,0.11207,0.03613,2.82483,3.32136,2.99582,0.0018416,0.0018416,0.0018416
6,116.702,1.71509,2.10084,1.88864,0.14867,0.25962,0.10602,0.03169,2.09696,3.41323,2.42297,0.001802,0.001802,0.001802
7,134.623,1.65819,2.01935,1.85796,0.41971,0.38462,0.31617,0.11826,2.10367,2.56508,2.43083,0.0017624,0.0017624,0.0017624
8,152.179,1.59363,1.95097,1.82877,0.46288,0.39423,0.34005,0.15705,1.84957,2.27983,2.19535,0.0017228,0.0017228,0.0017228
9,170.088,1.59494,1.87694,1.79743,0.5561,0.45192,0.49123,0.20687,1.94238,1.95334,2.26216,0.0016832,0.0016832,0.0016832
10,187.857,1.56537,1.90762,1.79885,0.45741,0.48638,0.43437,0.22159,1.91436,1.96811,2.10333,0.0016436,0.0016436,0.0016436
11,205.455,1.55864,1.82241,1.73958,0.55777,0.50935,0.52244,0.26905,1.79962,1.96422,2.03558,0.001604,0.001604,0.001604
12,223.127,1.49843,1.74463,1.71392,0.40992,0.51435,0.44379,0.1808,1.8853,1.89579,2.13182,0.0015644,0.0015644,0.0015644
13,241.187,1.52903,1.78743,1.76336,0.49539,0.46154,0.47124,0.239,1.74982,1.90487,2.01774,0.0015248,0.0015248,0.0015248
14,259.232,1.48936,1.74452,1.71694,0.65304,0.48077,0.59094,0.29379,1.72271,1.66054,2.19325,0.0014852,0.0014852,0.0014852
15,277.318,1.46712,1.7328,1.69625,0.75378,0.54808,0.65225,0.32892,1.7117,1.65264,1.95526,0.0014456,0.0014456,0.0014456
16,295.906,1.43831,1.64566,1.64708,0.60564,0.68269,0.64415,0.34827,1.54856,1.53775,1.80394,0.001406,0.001406,0.001406
17,313.836,1.43407,1.6556,1.65822,0.54993,0.50523,0.51138,0.28002,1.69537,1.84245,1.90896,0.0013664,0.0013664,0.0013664
18,332.118,1.39551,1.62167,1.62983,0.62925,0.55769,0.59009,0.30093,1.81369,1.69198,2.07993,0.0013268,0.0013268,0.0013268
19,350.762,1.36963,1.56749,1.62113,0.71527,0.55769,0.68789,0.3885,1.54064,1.45523,1.82111,0.0012872,0.0012872,0.0012872
20,369.145,1.39741,1.57165,1.63935,0.72318,0.6029,0.70776,0.40636,1.51148,1.42749,1.8067,0.0012476,0.0012476,0.0012476
21,387.375,1.39791,1.50525,1.61766,0.68911,0.5,0.6169,0.32103,1.58839,1.59824,1.85615,0.001208,0.001208,0.001208
22,405.898,1.35022,1.50659,1.60531,0.66912,0.59615,0.68082,0.38787,1.48586,1.47281,1.82273,0.0011684,0.0011684,0.0011684
23,423.938,1.35462,1.4846,1.58783,0.61379,0.63462,0.66378,0.38096,1.46443,1.49953,1.79359,0.0011288,0.0011288,0.0011288
24,442.905,1.30242,1.4817,1.58826,0.70728,0.61538,0.73818,0.42398,1.42977,1.4398,1.7086,0.0010892,0.0010892,0.0010892
25,462.246,1.31303,1.47693,1.58903,0.75658,0.6874,0.77511,0.46099,1.38439,1.33546,1.66713,0.0010496,0.0010496,0.0010496
26,480.317,1.30388,1.43242,1.56752,0.68844,0.72241,0.74357,0.44499,1.38354,1.34151,1.72387,0.00101,0.00101,0.00101
27,498.613,1.23042,1.38091,1.52797,0.71848,0.73623,0.77705,0.47693,1.39262,1.2901,1.68825,0.0009704,0.0009704,0.0009704
28,517.341,1.2472,1.38326,1.53037,0.70322,0.63795,0.72908,0.40036,1.44496,1.39298,1.8475,0.0009308,0.0009308,0.0009308
29,535.434,1.24965,1.39651,1.52156,0.7177,0.70893,0.75434,0.45345,1.36826,1.35964,1.72066,0.0008912,0.0008912,0.0008912
30,553.66,1.23729,1.38148,1.49997,0.79325,0.68269,0.77184,0.49815,1.3502,1.23737,1.6815,0.0008516,0.0008516,0.0008516
31,571.821,1.22113,1.31143,1.5121,0.72985,0.77933,0.80033,0.52814,1.23742,1.18227,1.56169,0.000812,0.000812,0.000812
32,590.176,1.2037,1.31158,1.48485,0.7073,0.73077,0.78331,0.4989,1.29312,1.15711,1.61481,0.0007724,0.0007724,0.0007724
33,608.081,1.20057,1.31784,1.5001,0.70791,0.69912,0.76854,0.49739,1.26205,1.20987,1.53752,0.0007328,0.0007328,0.0007328
34,626.728,1.17555,1.29179,1.47479,0.81663,0.72797,0.82262,0.52165,1.21676,1.15445,1.52648,0.0006932,0.0006932,0.0006932
35,645.309,1.16485,1.26947,1.44238,0.76478,0.73077,0.79044,0.50849,1.26697,1.1608,1.56173,0.0006536,0.0006536,0.0006536
36,663.514,1.15026,1.27131,1.45685,0.83222,0.70192,0.83209,0.55779,1.27075,1.14346,1.58118,0.000614,0.000614,0.000614
37,682.037,1.13152,1.20905,1.45645,0.81324,0.71177,0.82063,0.54399,1.23548,1.1623,1.57755,0.0005744,0.0005744,0.0005744
38,700.477,1.16904,1.28141,1.46056,0.78027,0.75962,0.84373,0.56547,1.24175,1.08782,1.55548,0.0005348,0.0005348,0.0005348
39,719.066,1.09569,1.19294,1.40944,0.75166,0.7276,0.80385,0.55332,1.11979,1.10968,1.46004,0.0004952,0.0004952,0.0004952
40,737.292,1.11857,1.18352,1.42921,0.81354,0.75517,0.84775,0.54797,1.24532,1.06562,1.51727,0.0004556,0.0004556,0.0004556
41,757.13,1.0564,1.03281,1.451,0.78186,0.77885,0.83461,0.54732,1.18201,1.12815,1.46166,0.000416,0.000416,0.000416
42,775.275,1.04952,0.9593,1.43323,0.77306,0.78612,0.84178,0.54822,1.18491,1.09503,1.45011,0.0003764,0.0003764,0.0003764
43,793.705,1.03163,0.95558,1.42502,0.86133,0.75962,0.86657,0.59148,1.15021,1.00505,1.47133,0.0003368,0.0003368,0.0003368
44,811.027,0.99079,0.87783,1.41389,0.85004,0.75,0.87205,0.60168,1.07658,1.01531,1.38705,0.0002972,0.0002972,0.0002972
45,829.087,0.96165,0.86546,1.35374,0.84756,0.75,0.88042,0.5991,1.05307,0.93734,1.3722,0.0002576,0.0002576,0.0002576
46,846.72,0.94949,0.83206,1.37373,0.80216,0.81873,0.86654,0.60806,1.03909,0.94949,1.39514,0.000218,0.000218,0.000218
47,864.267,0.92098,0.81041,1.35265,0.86151,0.75962,0.87656,0.62092,0.99449,0.94562,1.34606,0.0001784,0.0001784,0.0001784
48,880.684,0.91327,0.79891,1.3257,0.89938,0.77355,0.88398,0.60885,1.0666,0.93397,1.37695,0.0001388,0.0001388,0.0001388
49,897.292,0.91775,0.80082,1.33374,0.8823,0.79289,0.88947,0.61794,1.04589,0.92475,1.36395,9.92e-05,9.92e-05,9.92e-05
50,913.726,0.86835,0.76614,1.29456,0.86629,0.82692,0.89422,0.62308,1.02314,0.92023,1.35192,5.96e-05,5.96e-05,5.96e-05
